,SKU_NAME,FEED_DATE,CATEGORY,SUB_CATEGORY,ORDERED_REVENUE,ORDERED_UNITS,REP_OOS
234,B111S;CCLC,2019-08-07,1000 Inputs,1003 Computer Speakers,4127.1,435.0,3.81
235,B111S;CCLC,2019-08-08,1000 Inputs,1003 Computer Speakers,3520.79,371.0,4.75
236,B111S;CCLC,2019-08-09,1000 Inputs,1003 Computer Speakers,3482.83,367.0,2.4
237,B111S;CCLC,2019-08-10,1000 Inputs,1003 Computer Speakers,1518.4,160.0,3.89
238,B111S;CCLC,2019-08-11,1000 Inputs,1003 Computer Speakers,1575.34,166.0,5.23
239,B111S;CCLC,2019-08-12,1000 Inputs,1003 Computer Speakers,4052.23,427.0,3.27
240,B111S;CCLC,2019-08-13,1000 Inputs,1003 Computer Speakers,3368.95,355.0,1.28
241,B111S;CCLC,2019-08-14,1000 Inputs,1003 Computer Speakers,3767.53,397.0,2.57
242,B111S;CCLC,2019-08-15,1000 Inputs,1003 Computer Speakers,3425.89,361.0,3.78
243,B111S;CCLC,2019-08-16,1000 Inputs,1003 Computer Speakers,2932.41,309.0,1.8
244,B111S;CCLC,2019-08-17,1000 Inputs,1003 Computer Speakers,1565.85,165.0,2.85
245,B111S;CCLC,2019-08-18,1000 Inputs,1003 Computer Speakers,1359.64,136.0,1.94
246,B111S;CCLC,2019-08-19,1000 Inputs,1003 Computer Speakers,3876.62,388.0,3.02
247,B111S;CCLC,2019-08-20,1000 Inputs,1003 Computer Speakers,4045.95,405.0,3.03
248,B111S;CCLC,2019-08-21,1000 Inputs,1003 Computer Speakers,4346.15,435.0,3.87
249,B111S;CCLC,2019-08-22,1000 Inputs,1003 Computer Speakers,4305.69,431.0,3.34
250,B111S;CCLC,2019-08-23,1000 Inputs,1003 Computer Speakers,4465.53,447.0,4.72
251,B111S;CCLC,2019-08-24,1000 Inputs,1003 Computer Speakers,1758.24,176.0,3.01
252,B111S;CCLC,2019-08-25,1000 Inputs,1003 Computer Speakers,2037.96,204.0,3.29
253,B111S;CCLC,2019-08-26,1000 Inputs,1003 Computer Speakers,3226.77,323.0,3.17
254,B111S;CCLC,2019-08-27,1000 Inputs,1003 Computer Speakers,3796.2,380.0,3.18
255,B111S;CCLC,2019-08-28,1000 Inputs,1003 Computer Speakers,3526.47,353.0,3.37
256,B111S;CCLC,2019-08-29,1000 Inputs,1003 Computer Speakers,3896.1,390.0,4.02
257,B111S;CCLC,2019-08-30,1000 Inputs,1003 Computer Speakers,2927.07,293.0,5.07
258,B111S;CCLC,2019-08-31,1000 Inputs,1003 Computer Speakers,1628.37,163.0,4.4
259,D102VX\R52,2019-05-01,1000 Inputs,1004 Computer Headsets and Mics,18351.64,734.0,4.7
260,D102VX\R52,2019-05-02,1000 Inputs,1004 Computer Headsets and Mics,19070.56,771.0,5.74
261,D102VX\R52,2019-05-03,1000 Inputs,1004 Computer Headsets and Mics,14814.99,589.0,6.72
262,D102VX\R52,2019-05-04,1000 Inputs,1004 Computer Headsets and Mics,4373.3,175.0,6.68
